sentence,label
i have been here several times in the past  and the experience has always been great  ,1
after waiting an hour and being seated  i was not in the greatest of moods  ,0
del taco is pretty nasty and should be avoided if possible  ,0
the fried rice was dry as well  ,0
do not waste your money here  ,0
it's worth driving up from tucson  ,1
the only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach  ,0
it was packed   ,0
the food was delicious  our bartender was attentive and personable and we got a great deal  ,1
i loved the bacon wrapped dates  ,1
how can you call yourself a steakhouse if you can't properly cook a steak  i don't understand  ,0
the croutons also taste homemade which is an extra plus  ,1
do yourself a favor and stay away from this dish  ,0
delicious   ,1
what a great double cheeseburger  ,1
good beer & drink selection and good food selection  ,1
i think not again ,0
i recently tried caballero's and i have been back every week since  ,1
not tasty and the texture was just nasty  ,0
i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off  ,0
i had strawberry tea  which was good  ,1
this greedy corporation will never see another dime from me  ,0
i gave it 5 stars then  and i'm giving it 5 stars now  ,1
we'd definitely go back here again  ,1
they brought a fresh batch of fries and i was thinking yay something warm but no  ,0
lastly  the mozzarella sticks  they were the best thing we ordered  ,1
hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick  ,0
i would recommend saving room for this  ,1
talk about great customer service of course we will be back  ,1
i just don't know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine  ,0
a fly was in my apple juice   a fly         ,0
con  spotty service  ,0
these were so good we ordered them twice  ,1
awful service  ,0
plus  it's only 8 bucks  ,1
this hole in the wall has great mexican street tacos  and friendly staff  ,1
penne vodka excellent  ,1
this place is great               ,1
i like steiners because it's dark and it feels like a bar  ,1
there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company  ,0
i've had better  not only from dedicated boba tea spots  but even from jenni pho  ,0
when i'm on this side of town  this will definitely be a spot i'll hit up again  ,1
as a sushi lover avoid this place by all means  ,0
total waste of time  ,0
food was really good and i got full petty fast  ,1
would come back again if i had a sushi craving while in vegas  ,1
today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible  ,1
by this time our side of the restaurant was almost empty so there was no excuse  ,0
i took back my money and got outta there  ,0
i would not recommend this place  ,0
the buffet at bellagio was far from what i anticipated  ,0
we started with the tuna sashimi which was brownish in color and obviously wasn't fresh  ,0
main thing i didn't enjoy is that the crowd is of older crowd  around mid 30s and up  ,0
i can take a little bad service but the food sucks  ,0
this place is awesome if you want something light and healthy during the summer  ,1
2 times   very bad customer service   ,0
some highlights   great quality nigiri here  ,1
i ordered albondigas soup   which was just warm   and tasted like tomato soup with frozen meatballs  ,0
crust is not good  ,0
i've never been more insulted or felt disrespected  ,0
we had 7 at our table and the service was pretty fast  ,1
all in all an excellent restaurant highlighted by great service  a unique menu  and a beautiful setting  ,1
anyway  this fs restaurant has a wonderful breakfast/lunch  ,1
the menu had so much good stuff on it i could not decide  ,1
we won't be going back anytime soon  ,0
unfortunately  it was not good  ,0
the service was not up to par  either  ,0
have been going since 2007 and every meal has been awesome   ,1
overpriced for what you are getting  ,0
great place fo take out or eat in  ,1
the steak was amazing   rge fillet relleno was the best seafood plate i have ever had  ,1
i never come again  ,0
you can watch them preparing the delicious food   ,1
for a self proclaimed coffee cafe  i was wildly disappointed  ,0
and the red curry had so much bamboo shoots and wasn't very tasty to me  ,0
also were served hot bread and butter  and home made potato chips with bacon bits on top    very original and very good  ,1
the food came out at a good pace  ,1
this wonderful experience made this place a must stop whenever we are in town again  ,1
hopefully this bodes for them going out of business and someone who can cook can come in  ,0
your servers suck  wait  correction  our server heimer sucked  ,0
the staff are now not as friendly  the wait times for being served are horrible  no one even says hi for the first 10 minutes  ,0
this is the worst sushi i have ever eat besides costco's  ,0
the food was great as always  compliments to the chef  ,1
my fella got the huevos rancheros and they didn't look too appealing  ,0
i can say that the desserts were yummy  ,1
first time going but i think i will quickly become a regular  ,1
the desserts were a bit strange  ,0
i won't try going back there even if it's empty  ,0
it was delicious    ,1
the chipolte ranch dipping sause was tasteless  seemed thin and watered down with no heat  ,0
i tried the cape cod ravoli  chicken with cranberry   mmmm  ,1
i really do recommend this place  you can go wrong with this donut place  ,1
we loved the biscuits    ,1
service was good and the company was better  ,1
seriously flavorful delights  folks  ,1
it was either too cold  not enough flavor or just bad  ,0
i was shocked because no signs indicate cash only  ,0
i didn't know pulled pork could be soooo delicious  ,1
i got home to see the driest damn wings ever  ,0
i checked out this place a couple years ago and was not impressed  ,0
generous portions and great taste  ,1
my boyfriend tried the mediterranean chicken salad and fell in love  ,1
it also took her forever to bring us the check when we asked for it  ,0
the decor is nice  and the piano music soundtrack is pleasant  ,1
what happened next was pretty    off putting  ,0
i'm so happy to be here     ,1
in summary  this was a largely disappointing dining experience  ,0
the sangria was about half of a glass wine full and was $12  ridiculous  ,0
now this dish was quite flavourful  ,1
the dining space is tiny  but elegantly decorated and comfortable  ,1
cant say enough good things about this place  ,1
the live music on fridays totally blows  ,0
when i received my pita it was huge it did have a lot of meat in it so thumbs up there  ,1
the chains  which i'm no fan of  beat this place easily  ,0
the service here leaves a lot to be desired  ,0
pretty good beer selection too  ,1
 my order was not correct  ,0
tonight i had the elk filet special   and it sucked  ,0
a lady at the table next to us found a live green caterpillar in her salad  ,0
i love the fact that everything on their menu is worth it  ,1
both great  ,1
after all the rave reviews i couldn't wait to eat here      what a disappointment  ,0
the service was meh  ,0
the potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer  ,0
unfortunately  we must have hit the bakery on leftover day because everything we ordered was stale  ,0
we aren't ones to make a scene at restaurants but i just don't get it   definitely lost the love after this one  ,0
we recently witnessed her poor quality of management towards other guests as well  ,0
very good lunch spot  ,1
delicious nyc bagels  good selections of cream cheese  real lox with capers even  ,1
the cashier had no care what so ever on what i had to say it still ended up being wayyy overpriced  ,0
2 thumbs up   ,1
this place is two thumbs up    way up  ,1
try them in the airport to experience some tasty food and speedy  friendly service  ,1
before i go in to why i gave a 1 star rating please know that this was my third time eating at bachi burger before writing a review  ,0
wow    loved this place  ,1
i was disgusted because i was pretty sure that was human hair  ,0
our server was very nice and attentive as were the other serving staff  ,1
great brunch spot  ,1
we got sitting fairly fast  but  ended up waiting 40 minutes just to place our order  another 30 minutes before the food arrived  ,0
their steaks are 100% recommended  ,1
i will not return  ,0
you get incredibly fresh fish  prepared with care  ,1
i could barely stomach the meal  but didn't complain because it was a business lunch  ,0
that's right    the red velvet cake     ohhh this stuff is so good  ,1
worse of all  he humiliated his worker right in front of me  bunch of horrible name callings  ,0
i had the mac salad and it was pretty bland so i will not be getting that again  ,0
i won't be back  ,0
as always the evening was wonderful and the food delicious  ,1
the food is not tasty at all  not to say its  real traditional hunan style   ,0
the chips and sals a here is amazing                    ,1
too bad cause i know it's family owned  i really wanted to like this place  ,0
in the summer  you can dine in a charming outdoor patio   so very delightful  ,1
today is the second time i've been to their lunch buffet and it was pretty good  ,1
great pork sandwich  ,1
 it wasn't busy either  also  the building was freezing cold  ,0
phenomenal food  service and ambiance  ,1
i was proven dead wrong by this sushi bar  not only because the quality is great  but the service is fast and the food  impeccable  ,1
the one down note is the ventilation could use some upgrading  ,0
on the ground  right next to our table was a large  smeared  been stepped in and tracked everywhere pile of green bird poop  ,0
once your food arrives it's meh  ,0
and the drinks are weak  people  ,0
i've had better atmosphere  ,0
     the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one  ,0
we enjoy their pizza and brunch  ,1
i consider this theft  ,0
google mediocre and i imagine smashburger will pop up  ,0
the service was extremely slow  ,0
the staff are also very friendly and efficient  ,1
back to good bbq  lighter fare  reasonable pricing and tell the public they are back to the old ways  ,1
i believe that this place is a great stop for those with a huge belly and hankering for sushi  ,1
this was my first time and i can't wait until the next  ,1
omg  the food was delicioso  ,1
the service was terrible  food was mediocre  ,0
the goat taco didn't skimp on the meat and wow what flavor  ,1
the greek dressing was very creamy and flavorful  ,1
the jamaican mojitos are delicious  ,1
a greasy  unhealthy meal  ,0
service stinks here  ,0
sooooo good   ,1
